system:time_start,LST_Day_1km_mean,LST_Day_1km_stdDev
"Dec 1, 2018","14,826.016",70.645
"Dec 2, 2018","14,756.197",54.482
"Dec 3, 2018",,
"Dec 4, 2018","14,653.119",90.482
"Dec 5, 2018","14,648.694",39.933
"Dec 6, 2018",,
"Dec 7, 2018","14,643.693",88.054
"Dec 8, 2018",,
"Dec 9, 2018","14,517.175",31.375
"Dec 10, 2018",,
"Dec 11, 2018",,
"Dec 12, 2018","14,463",0
"Dec 13, 2018","14,396.841",54.655
"Dec 14, 2018","14,444.314",61.067
"Dec 15, 2018","14,362.1",38.02
"Dec 16, 2018","14,485.739",49.253
"Dec 17, 2018","14,476.768",26.519
"Dec 18, 2018","14,480.508",54.902
"Dec 19, 2018","14,539.552",36.83
"Dec 20, 2018","14,363.093",65.523
"Dec 21, 2018","14,500.025",46.778
"Dec 22, 2018","14,307.527",64.037
"Dec 23, 2018","14,425.341",44.524
"Dec 24, 2018",,
"Dec 25, 2018","14,405.683",76.75
"Dec 26, 2018",,
"Dec 27, 2018","14,253.961",80.901
"Dec 28, 2018","14,397.78",59.641
"Dec 29, 2018","14,265.942",87.714
"Dec 30, 2018","14,415.615",61.835
"Dec 31, 2018",,
"Jan 1, 2019",,
"Jan 2, 2019","14,412.826",23.152
"Jan 3, 2019","14,268.407",61.586
"Jan 4, 2019",,
"Jan 5, 2019",,
"Jan 6, 2019","14,285.887",31.465
"Jan 7, 2019","14,278.212",55.968
"Jan 8, 2019","14,268.443",151.161
"Jan 9, 2019","14,383",0
"Jan 10, 2019",,
"Jan 11, 2019",,
"Jan 12, 2019",,
"Jan 13, 2019","14,392.694",17.803
"Jan 14, 2019","14,124.357",47.1
"Jan 15, 2019","14,240.581",66.138
"Jan 16, 2019",,
"Jan 17, 2019","14,480.365",32.28
"Jan 18, 2019",,
"Jan 19, 2019","14,190.608",68.865
"Jan 20, 2019",,
"Jan 21, 2019",,
"Jan 22, 2019",,
"Jan 23, 2019","14,322.935",13.587
"Jan 24, 2019","14,381.181",34.911
"Jan 25, 2019","14,299.131",35.522
"Jan 26, 2019","14,266.395",66.349
"Jan 27, 2019","14,403.174",18.124
"Jan 28, 2019","14,435.471",36.872
"Jan 29, 2019","14,207.929",129.184
"Jan 30, 2019",,
"Jan 31, 2019",,
"Feb 1, 2019","14,278.312",24.129
"Feb 2, 2019","14,185.217",87.992
"Feb 3, 2019","14,455.127",76.725
"Feb 4, 2019",,
"Feb 5, 2019","14,279.919",82.531
"Feb 6, 2019","14,453.198",28.336
"Feb 7, 2019","14,315.764",87.196
"Feb 8, 2019","14,058",0
"Feb 9, 2019","14,476.34",48.501
"Feb 10, 2019","14,385.997",69.226
"Feb 11, 2019","14,546.484",103.435
"Feb 12, 2019",,
"Feb 13, 2019",,
"Feb 14, 2019",,
"Feb 15, 2019","14,534.209",27.019
"Feb 16, 2019","14,665.492",24.834
"Feb 17, 2019",,
"Feb 18, 2019",,
"Feb 19, 2019","14,433.532",45.09
"Feb 20, 2019",,
"Feb 21, 2019",,
"Feb 22, 2019","14,590.103",25.739
"Feb 23, 2019","14,405.648",117.453
"Feb 24, 2019","14,590.639",34.667
"Feb 25, 2019","14,656.616",76.399
"Feb 26, 2019",,
"Feb 27, 2019","14,530.208",27.698
"Feb 28, 2019","14,160.895",64.953
"Mar 1, 2019",,
"Mar 2, 2019",,
"Mar 3, 2019",,
"Mar 4, 2019","14,421.566",143.793
"Mar 5, 2019","14,686.007",23.724
"Mar 6, 2019","14,886.353",29.294
"Mar 7, 2019","14,555.64",42.225
"Mar 8, 2019",,
"Mar 9, 2019","14,846.948",30.898
"Mar 10, 2019","14,937.197",39.431
"Mar 11, 2019",,
"Mar 12, 2019","14,589.19",40.682
"Mar 13, 2019",,
"Mar 14, 2019",,
"Mar 15, 2019","14,808.684",28.616
"Mar 16, 2019","14,573.234",117.909
"Mar 17, 2019","15,051.844",48.262
"Mar 18, 2019",,
"Mar 19, 2019",,
"Mar 20, 2019","14,804.703",36.724
"Mar 21, 2019","14,850.918",44.928
"Mar 22, 2019","15,077.649",51.169
"Mar 23, 2019",,
"Mar 24, 2019","14,604.479",119.345
"Mar 25, 2019","15,099.583",34.455
"Mar 26, 2019","15,243.696",66.354
"Mar 27, 2019","15,059.175",127.508
"Mar 28, 2019","15,116.824",39.05
"Mar 29, 2019","14,888.422",106.264
"Mar 30, 2019","14,970.209",52.997
"Mar 31, 2019","15,391.216",53.753
"Apr 1, 2019","15,367.445",37.077
"Apr 2, 2019","15,347.907",65.18
"Apr 3, 2019","15,408.277",90.329
"Apr 4, 2019","15,273.444",44.182
"Apr 5, 2019","15,534.055",56.609
"Apr 6, 2019","15,453.833",83.798
"Apr 7, 2019","15,559.768",87.146
"Apr 8, 2019","15,305.502",41.027
"Apr 9, 2019","15,211.772",89.917
"Apr 10, 2019","15,149.692",36.624
"Apr 11, 2019",,
"Apr 12, 2019",,
"Apr 13, 2019",,
"Apr 14, 2019","15,024.251",88.391
"Apr 15, 2019","15,234.164",55.469
"Apr 16, 2019",,
"Apr 17, 2019",,
"Apr 18, 2019","15,027.782",51.213
"Apr 19, 2019","15,217.567",45.188
"Apr 20, 2019","15,051.596",164.869
"Apr 21, 2019","15,475.848",63.012
"Apr 22, 2019","15,370.211",38.077
"Apr 23, 2019","15,558.982",56.767
"Apr 24, 2019",,
"Apr 25, 2019","15,028.253",42.227
"Apr 26, 2019","15,005.834",21.888
"Apr 27, 2019","15,113.806",116.283
"Apr 28, 2019","15,477.479",55.437
"Apr 29, 2019",,
"Apr 30, 2019","15,025.661",105.459
"May 1, 2019","15,399.205",30.5
"May 2, 2019","15,617.863",278.73
"May 3, 2019","15,522.827",52.235
"May 4, 2019","15,831.476",58.334
"May 5, 2019","15,832.315",58.966
"May 6, 2019","15,863.348",101.661
"May 7, 2019","15,868.538",71.304
"May 8, 2019","15,588.529",54.008
"May 9, 2019","15,713.804",166.846
"May 10, 2019","15,594.397",25.51
"May 11, 2019","15,442.394",106.133
"May 12, 2019","15,655.228",76.544
"May 13, 2019",,
"May 14, 2019","15,465.495",107.496
"May 15, 2019",,
"May 16, 2019","15,141.782",64.31
"May 17, 2019",,
"May 18, 2019","15,566.796",121.295
"May 19, 2019",,
"May 20, 2019","15,356.595",98.923
"May 21, 2019","15,698.305",68.382
"May 22, 2019","15,688.523",116.218
"May 23, 2019","15,652.44",58.21
"May 24, 2019","15,310.873",117.432
"May 25, 2019","15,433.331",67.74
"May 26, 2019","15,533.134",58.392
"May 27, 2019","15,917.984",71.286
"May 28, 2019","15,656.321",153.333
"May 29, 2019","15,982.058",52.534
"May 30, 2019","16,063.033",54.269
"May 31, 2019",,
"Jun 1, 2019","16,023.699",49.165
"Jun 2, 2019","15,607.018",62.304
"Jun 3, 2019","15,934.378",120.754
"Jun 4, 2019","15,364.34",29.076
"Jun 5, 2019","16,003.808",55.126
"Jun 6, 2019",,
"Jun 7, 2019","16,009.459",51.451
"Jun 8, 2019","16,133.224",63.73
"Jun 9, 2019","15,595.704",153.886
"Jun 10, 2019","16,289.438",55.56
"Jun 11, 2019","15,604.035",90.902
"Jun 12, 2019","15,817.723",87.322
"Jun 13, 2019","15,724.368",66.605
"Jun 14, 2019","16,010.364",59.175
"Jun 15, 2019","15,606.535",45.428
"Jun 16, 2019","15,968.939",29.387
"Jun 17, 2019","16,158.396",54.061
"Jun 18, 2019",,
"Jun 19, 2019","15,832.758",92.708
"Jun 20, 2019","15,458.669",63.637
"Jun 21, 2019","15,892",127.943
"Jun 22, 2019","15,885.735",100.913
"Jun 23, 2019",,
"Jun 24, 2019","15,632.813",104.19
"Jun 25, 2019","15,670.987",76.331
"Jun 26, 2019","16,122.199",73.111
"Jun 27, 2019","15,442.035",54.796
"Jun 28, 2019","16,165.12",51.35
"Jun 29, 2019","15,791.686",172.713
"Jun 30, 2019","15,778.643",31.41
"Jul 1, 2019","15,858.382",197.939
"Jul 2, 2019","15,566.834",48.951
